05735453,FREDERIK,HENDRIK,LEEUWRIK,1,,NL,NETHERLANDS,residence	
06042450,CLAIRE,,LEMONON,1,,FR,FRANCE,residence	
06044178,EARL,,BIRKETT,1,NY,US,,residence	
06049105,JOSEPH,H.,GRAESER,1,OH,US,,residence	
06049105,RICHARD,A.,NATOLI,2,OH,US,,residence	
06049105,ROBERT,J.,ADKINS,3,OH,US,,residence	
06069363,DOMENICO,,DELUCA,3,,IT,ITALY,residence	
06069363,ANGELO,,PRICCA,4,,IT,ITALY,residence	
06069363,PAOLO,,LONGI,2,,IT,ITALY,residence	
06069363,UMBERTO,,GIANNINI,1,,IT,ITALY,residence	
06070194,DARRELL,D.,HICKS,1,KY,US,,residence	
06070194,RICHARD,B.,GRAVER,2,KY,US,,residence	
06070738,HARRY,E.,MC CANDLESS,1,PA,US,,residence	
06072643,YASUO,,SASAKI,2,,JP,JAPAN,residence	
06072643,MUNEYUKI,,AMANO,1,,JP,JAPAN,residence	
06076523,ALFRED,,FISCHER,1,NY,US,,residence	
06084232,EGON,,BRAUNING,1,,DE,GERMANY,residence	
06087223,MICHAEL,J.,ODDI,1,MA,US,,residence	
06087223,ALFRED,P.,ORIO,2,MA,US,,residence	
06090453,YING,H.,CHAN,1,,HK,HONG KONG,residence	
06095376,WILLIAM,J.,CLAYBORNE,2,OH,US,,residence	
06095376,HANS,,HAUSER,1,OH,US,,residence	
06097325,BYRON,G.,NELSON,1,LA,US,,residence	
06100265,HIROSHI,,ISHIDOSHIRO,2,,JP,JAPAN,residence	
06100265,YOSHIKAZU,,SANDO,1,,JP,JAPAN,residence	
06106224,SCOTT,D.,SKILLERN,1,IN,US,,residence	
06110945,GERHARD,,GUTHOHRLEIN,2,,DE,GERMANY,residence	
06110945,TORSTEN,B.,HELTING,1,,AT,AUSTRIA,residence	
06113399,BARRY,R.,SPRINGER,1,CA,US,,residence	
06115776,THOMAS,E.,KRUTSCH,1,CA,US,,residence	
06126077,JACOB,,BUIS,2,,NL,NETHERLANDS,residence	
06126077,JAN,,KLIJNSTRA,3,,NL,NETHERLANDS,residence	
06126077,JAN,,VAN STAALDUINEN,4,,NL,NETHERLANDS,residence	
06126077,ALFRED,,VAN HERK,1,,NL,NETHERLANDS,residence	
06130718,WILLIAM,,SMITH,1,,CA,CANADA,residence	
06130777,LONG,F.,CHANG,1,OH,US,,residence	
06136145,THOMAS,M.,WHITNEY,1,MI,US,,residence	
06136145,GERALD,,GOWER,2,MI,US,,residence	
06137738,JOHN,R.,SCHINELLA,1,MI,US,,residence	
06141903,ERNST,M.,HEER,3,,CH,SWITZERLAND,residence	
06141903,LEENDERT,,KETTING,2,,CH,SWITZERLAND,residence	
06141903,ROBERT,,LINZBERGER,1,,CH,SWITZERLAND,residence	
06145544,CARL,S.,APSTEIN,1,MA,US,,residence	
06149324,KIYOSHI,,HATTORI,1,,JP,JAPAN,residence	
06150595,DAVID,W.,KINCHELOE,1,IL,US,,residence	
06150595,DAVID,O.,NEATHERY,2,IL,US,,residence	
06151454,IAN,R.,BRYCE,1,,AU,AUSTRALIA,residence	
06156734,CHARLES,T.,SUNDQUIST,1,WA,US,,residence	
06156814,KENJI,,SEKINE,3,,JP,JAPAN,residence	
06156814,AKIRA,,MATSUMURA,1,,JP,JAPAN,residence	
06156814,AKIRA,,ENDO,2,,JP,JAPAN,residence	
06157575,JOSEPH,R.,MOULTON,2,VA,US,,residence	
06157575,WILLIAM,W.,CARROW,1,VA,US,,residence	
06161129,THOMAS,T.,BOUVE,1,MD,US,,residence	
06165828,RONALD,W.,SCHALLER,1,,GB,UNITED KINGDOM,residence	
06166004,WAYNE,D.,LUKE,1,IN,US,,residence	
06167147,TAY-HEE,,HAN,1,,KR,"KOREA, REPUBLIC OF",residence	
06168293,DOUGLAS,R.,VILLINES,1,OK,US,,residence	
06168624,ERIC,H.,FORD,1,,GB,UNITED KINGDOM,residence	
06172597,JAMES,A.,MUNRO,1,,GB,UNITED KINGDOM,residence	
06177223,THOMAS,P.,CALNAN,1,FL,US,,residence	
06179651,GARY,G.,SCHILLER,1,WI,US,,residence	
06180788,RICHARD,C.,FARRIS,1,TX,US,,residence	
06184268,JOSE,M.,BARCITA,1,VA,US,,residence	
06185824,JOHN,W.,ERICKSON,1,CA,US,,residence	
06187181,HERBERT,,KRAEMER,1,,DE,GERMANY,residence	
06188033,HEINRICH,,BARTELMUSS,1,,AT,AUSTRIA,residence	
06192551,KURT,,LEICHNITZ,1,,DE,GERMANY,residence	
06192761,HELMUT,,FRANZ,1,PA,US,,residence	
06193746,ROBERT,R.,BROWNLEE,1,PA,US,,residence	
06193746,G.,FRANK O.,TYERS,4,,CA,CANADA,residence	
06193746,HOWARD,C.,HUGHES,2,PA,US,,residence	
06193746,PAUL,H.,NEFF,3,PA,US,,residence	
06197004,WARREN,O.,WEATHERS,1,OR,US,,residence	
06199072,ROBERT,K.,STEVENSON,2,CA,US,,residence	
06199072,EDWARD,C.,SCHULTZ,1,CA,US,,residence	
06200483,RENE,,GERBER,2,,FR,FRANCE,residence	
06200483,JEAN,P.,MORIZOT,1,,FR,FRANCE,residence	
06202230,KLAUS,,WUNDERLICH,2,,DE,GERMANY,residence	
06202230,HORST,,JAGAR,1,,DE,GERMANY,residence	
06208683,TOSHIRO,,MATSUDA,1,,JP,JAPAN,residence	
06208683,MINORU,,HONDA,2,,JP,JAPAN,residence	
06214168,RAYMOND,,BERNASCONI,1,,CH,SWITZERLAND,residence	
06214168,PIER,G.,FERRINI,2,,CH,SWITZERLAND,residence	
06214168,RICHARD,,GOSCHKE,3,,CH,SWITZERLAND,residence	
06214168,JACQUES,,GOSTELI,4,,CH,SWITZERLAND,residence	
06217729,CLAUDE,M.,FRISBEE,1,IA,US,,residence	
06218372,RAYMOND,E.,BOLICH,1,OH,US,,residence	
06221954,RICHARD,D.,SKILES,2,CA,US,,residence	
06221954,KURT,H.,PILGRAM,1,CA,US,,residence	
06229149,JOHN,L.,HALL,1,,GB,UNITED KINGDOM,residence	
06229559,RAYMOND,J.,WERNER,1,NJ,US,,residence	
06229559,FRANK,J.,SMITH,4,NY,US,,residence	
06229559,DANIEL,L.,CROWLEY,3,NY,US,,residence	
06229559,WILLIAM,J.,JENNINGS,2,NY,US,,residence	
06230832,JOHN,T.,CIAFFONE,1,CT,US,,residence	
06231073,RICHARD,W.,ULMER,1,TX,US,,residence	
06231073,ROGER,A.,WHATLEY,2,TX,US,,residence	
06231496,JACK,P.,FLER,1,,CA,CANADA,residence	
06238394,JOHN,W.,FORSBERG,1,OH,US,,residence	
06240348,JAMES,A.,RECZEK,1,NY,US,,residence	
06240348,THOMAS,R.,WELTER,2,NY,US,,residence	
06243292,THOMAS,J.,REBRESCHI,1,CT,US,,residence	
06243292,MOHAN,L.,KAPOOR,2,CT,US,,residence	
06244033,RICHARD,L.,STONE,1,CA,US,,residence	
06248840,GEORGE,Y.,LESHER,1,NY,US,,residence	
06248840,DONALD,F.,PAGE,3,NY,US,,residence	
06248840,CHESTER,J.,OPALKA,2,NY,US,,residence	
06251646,CHARLES,H.,CONEY,1,TN,US,,residence	
06255650,FRED,C.,KRESKY,2,MI,US,,residence	
06255650,JOHN,D.,BOLAND,1,MI,US,,residence	
06255922,KURT,,EISEMANN,1,,DE,GERMANY,residence	
06258312,AKIRA,,TANIMOTO,2,,JP,JAPAN,residence	
06258312,TOMOHIRO,,INOUE,1,,JP,JAPAN,residence	
06260224,EDWARD,M.,STOLARZ,1,NY,US,,residence	
06262266,INGENUIN,,HECHENBLEIKNER,1,CT,US,,residence	
06262266,WILLIAM,P.,ENLOW,2,CT,US,,residence	
06262605,ICHIRO,,ENDO,1,,JP,JAPAN,residence	
06262605,YASUSHI,,SATO,2,,JP,JAPAN,residence	
06262605,SEIJI,,SAITO,3,,JP,JAPAN,residence	
06262605,TAKASHI,,NAKAGIRI,4,,JP,JAPAN,residence	
06262605,SHIGERU,,OHNO,5,,JP,JAPAN,residence	
06263533,CRAIG,L.,CARRISON,1,MN,US,,residence	
06263627,ROBERT,B.,BROOKS,1,KY,US,,residence	
06263995,WALTER,,SEEGER,1,,DE,GERMANY,residence	
06268233,ALDINO,J.,GAIA,1,MO,US,,residence	
06272719,KENNETH,J.,SHANTON,1,,GB,UNITED KINGDOM,residence	
06273927,LLOYD,J.,MATTHEWS,1,MO,US,,residence	
06287430,DANIEL,T.,MEISENHEIMER,1,CT,US,,residence	
06288296,SAMUEL,,BOGOCH,1,NY,US,,residence	
06292876,JAMES,,SPARKS,1,MA,US,,residence	
06295086,NILS,E.,ANDERSSON,1,,SE,SWEDEN,residence	
06295086,BENGT,,SINNER,3,,SE,SWEDEN,residence	
06295086,STEN,,ERIKSSON,2,,SE,SWEDEN,residence	
06295430,HYMAN,,CHESSIN,1,NJ,US,,residence	
06305221,REINHOLD,,HOLTKAMP,1,,DE,GERMANY,residence	
06307367,CHARLES,W.,DAGGETT,1,IL,US,,residence	
06321327,GERALD,E.,THORNBERRY,1,TX,US,,residence	
06322826,HORST,,MYLIUS,1,,DE,GERMANY,residence	
06322826,JOSEF,,FRANIA,2,,DE,GERMANY,residence	
06322826,MOMCILO,,RISTIC,3,,DE,GERMANY,residence	
06323456,JURGEN,,HEITMANN,1,,DE,GERMANY,residence	
06329820,KARL,E.,JOELSON,1,,DE,GERMANY,residence	
06329934,VLADIMIR,,VANHA,1,NC,US,,residence	
06332737,JOHN,H.,PETRE,1,OH,US,,residence	
06336914,ALEX,E.,HINES,1,CO,US,,residence	
06339269,DAVID,S.,SORIANO,1,NY,US,,residence	
06339269,MARTIN,A.,ROBINSON,3,NY,US,,residence	
06339269,TIMOTHY,R.,DEMMIN,2,NY,US,,residence	
06339557,LAWRENCE,P.,WEISENBURGER,1,NC,US,,residence	
06341667,KENICHI,,HARUGUCHI,1,,JP,JAPAN,residence	
06341667,KAZUO,,TSUJIMOTO,5,,JP,JAPAN,residence	
06341667,MASAYOSHI,,KAWAISHI,3,,JP,JAPAN,residence	
06341667,MASAFUMI,,NUMANO,4,,JP,JAPAN,residence	
06341667,TAKAO,,MIYAKE,2,,JP,JAPAN,residence	
06342943,EDWARD,J.,GALLAGHER,2,NY,US,,residence	
06342943,GEORGE,R.,CALDWELL,1,NY,US,,residence	
06345242,JAKUB,,HIRSCHBERG,2,,SE,SWEDEN,residence	
06345242,MATS,,WAGER,1,,SE,SWEDEN,residence	
06345326,HIROYUKI,,SUGIYAMA,1,,JP,JAPAN,residence	
06345996,KARL,M.,PREWO,1,CT,US,,residence	
06345996,JOHN,J.,BRENNAN,2,CT,US,,residence	
06348432,DAVID,N.,MC CRARY,1,GA,US,,residence	
06348432,ROBERT,O NEIL,BINFORD,2,TX,US,,residence	
06351628,WILLIAM,H.,PULLIN,1,TX,US,,residence	
06354939,GEORGE,,MERRITT,2,OH,US,,residence	
06354939,SPIROS,G.,RAFTIS,1,PA,US,,residence	
06356887,MARTIN,,ULLMANN,1,,CH,SWITZERLAND,residence	
06359101,RICHARD,L.,BOSWELL,2,CO,US,,residence	
06359101,ROBERT,L.,HANN,1,CO,US,,residence	
06364975,KLAAS,,DE GROOT,2,,NL,NETHERLANDS,residence	
06364975,JOSEPH,M.,VAN DER ZEL,1,,NL,NETHERLANDS,residence	
06368021,YUKIO,,KANAZAWA,1,,JP,JAPAN,residence	
06370558,ROBERT,H.,GANZ,1,NJ,US,,residence	
06370678,RAY,B.,FORKER,1,NY,US,,residence	
06372088,PETER,,CARR,1,MI,US,,residence	
06372988,FRANCIS,W.,CHILD,1,WY,US,,residence	
06375318,PEER,,THILO,2,,DE,GERMANY,residence	
06375318,KARLA,,OBERSTEIN,1,,DE,GERMANY,residence	
06375579,EMANUEL,S.,SCHECHTER,1,NY,US,,residence	
06375699,TREVOR,O.,JONES,1,OH,US,,residence	
06378299,WILFRIED,,PFEIFFER,1,,DE,GERMANY,residence	
06378973,THOMAS,E.,DAVIS,1,CA,US,,residence	
06378973,DANA,C.,OVERMAN,2,CA,US,,residence	
06389243,EDDIE,C.,MOORE,2,TX,US,,residence	
06389243,JEFF,D.,MOORE,1,TX,US,,residence	
06390579,THOMAS,E.,UNGER,2,NJ,US,,residence	
06390579,GEORGE,J.,PLICHTA,1,NJ,US,,residence	
06392543,PAUL,M.,HOLMES,1,MI,US,,residence	
06396091,KAZUTAKA,,MAEJIMA,2,,JP,JAPAN,residence	
06396091,KOUICHI,,MIYATA,1,,JP,JAPAN,residence	
06396091,KATSUMI,,TOMODA,3,,JP,JAPAN,residence	
06399465,JOHN,H.,BREMS,1,FL,US,,residence	
06407630,TAKASHI,,YAGYU,1,,JP,JAPAN,residence	
06407630,TAKESHI,,YAMAGUCHI,2,,JP,JAPAN,residence	
06407630,SOTARO,,TANAKA,3,,JP,JAPAN,residence	
06407630,YASUO,,SAKAKI,4,,JP,JAPAN,residence	
06411903,BRADLEY,O.,REED,1,MA,US,,residence	
06414133,RAINER,,FUCHS,1,,DE,GERMANY,residence	
06414133,WILHELM,,STENDEL,2,,DE,GERMANY,residence	
06415085,TAMARA,,PADRON,2,NJ,US,,residence	
06415085,RONALD,M.,RUPPERT,1,NJ,US,,residence	
06419008,WILLIAM,E.,DUFFETT,1,CA,US,,residence	
06429365,FRANCIS,H.,MCARDLE,1,PA,US,,residence	
06429365,RICHARD,T.,DE ROSA,3,PA,US,,residence	
06429365,EARL,,SCHNEIDER,2,PA,US,,residence	
06431981,ANTHONY,,SPEZIO,1,MD,US,,residence	
06435231,KIICHI,,MINAI,2,,JP,JAPAN,residence	
06435231,HIROSHI,,SENO,3,,JP,JAPAN,residence	
06435231,KIKUO,,WAKINO,1,,JP,JAPAN,residence	
06435623,YANI,,CHRISTIDIS,1,,FR,FRANCE,residence	
06435623,FERNANDO,,BARZAGHI,2,,IT,ITALY,residence	
06437991,HU,H.,CHAO,1,NY,US,,residence	
06440347,DIETRICH,,SCHNEIDER,3,,DE,GERMANY,residence	
06440347,WOLFGANG,,KUNKEL,1,,DE,GERMANY,residence	
06440347,JORG,,KEMNADE,2,,DE,GERMANY,residence	
06455668,RON,T.,HAHN,3,CA,US,,residence	
06455668,EARL,L.,MORRIS,1,CA,US,,residence	
06455668,WALTER,,HAFNER,2,CA,US,,residence	
06457297,DENNIS,J.,HARRIS,1,IA,US,,residence	
06460012,ISAO,,YOSHIMURA,1,,JP,JAPAN,residence	
06460012,OSAMU,,MIZUKAMI,2,,JP,JAPAN,residence	
06460012,HIDEO,,HATA,3,,JP,JAPAN,residence	
06460012,JUNICHI,,KAGEYAMA,4,,JP,JAPAN,residence	
06460012,TAKASHI,,KANEKO,5,,JP,JAPAN,residence	
06463522,ROBERT,W.,LIENHARD,1,PA,US,,residence	
06465819,CLARENCE,C.,IRWIN,1,MI,US,,residence	
06467636,KAZUO,,KAMEYA,1,,JP,JAPAN,residence	
06469053,TERUO,,TOUMA,2,,JP,JAPAN,residence	
06469053,KUMASAKA,,OSAMU,1,,JP,JAPAN,residence	
06473761,NAOYUKI,,TAKAHASHI,3,,JP,JAPAN,residence	
06473761,TOSHIRO,,OKAMOTO,2,,JP,JAPAN,residence	
06473761,YOSHIHIKO,,KAMIMURA,1,,JP,JAPAN,residence	
06473761,HIROSHI,,MAKIHARA,4,,JP,JAPAN,residence	
06473761,MICHIO,,OSHIMA,5,,JP,JAPAN,residence	
06483865,DAVID,M.,SEITZ,1,MI,US,,residence	
06483865,RICHARD,,WEINSTEIN,2,OH,US,,residence	
06488312,MORRIS,F.,MARX,1,GA,US,,residence	
06488327,DONALD,J.,ROZSI,2,MI,US,,residence	
06488327,STANLEY,K.,SMITH,1,MI,US,,residence	
06488327,ALVIN,M.,SABROFF,3,OH,US,,residence	
06488623,EDWARD,A.,ABRAMSON,1,DE,US,,residence	
06494590,EVERETTE,E.,VERMILION,2,WA,US,,residence	
06494590,NOEL,S.,PATERSON,1,WA,US,,residence	
06495081,EDWIN,J.,SHADE,1,PA,US,,residence	
06498309,GUNTHER,,KRIPPNER,2,,AT,AUSTRIA,residence	
06498309,KARL,,KLETZMAIER,1,,AT,AUSTRIA,residence	
06499741,WILSON,E.,BRADLEY,1,MD,US,,residence	
06499741,PALLE,,RYE,2,PA,US,,residence	
06502825,DANIEL,J.,BRUNELLE,1,NY,US,,residence	
06509123,GREGORY,,MOE,2,NY,US,,residence	
06509123,EMIL,T.,KAISER,1,NY,US,,residence	
06509250,ROBERT,G.,VAN DINE,1,CA,US,,residence	
06511805,KOSEI,,HATA,1,,JP,JAPAN,residence	
06511805,TOSHIYUKI,,MARUOKA,2,,JP,JAPAN,residence	
06513948,THOMAS,A.,GILBERTSON,1,CA,US,,residence	
06524208,JACK,,BARBER,4,MA,US,,residence	
06524208,HARVEY,,BOMES,1,MA,US,,residence	
06524208,JOHN,,PULICHINO,2,MA,US,,residence	
06524208,JOHN,,MIGLIORE,3,RI,US,,residence	
06524325,DAN,H.,WOLAVER,1,MA,US,,residence	
06529354,KEITH,D.,STAPLEY,1,OK,US,,residence	
06531644,SATOMI,,ARIMOTO,1,,JP,JAPAN,residence	
06535867,ERNST,C.,WETTSTEIN,2,MA,US,,residence	
06535867,CHRISTIAN,C.,PETERSEN,1,MA,US,,residence	
06536224,MICHEL,,EXERTIER,1,,FR,FRANCE,residence	
06536689,MAX,L.,CAMPBELL,1,KS,US,,residence	
06536689,JEROME,A.,FLESHER,2,KS,US,,residence	
06538134,WENDELL,N.,CHRISTENSEN,1,WA,US,,residence	
06539571,ROBERT,E.,BRIDGES,1,,GB,UNITED KINGDOM,residence	
06541643,ADRIANUS,W.,LUDIKHUIZE,1,,NL,NETHERLANDS,residence	
06546680,DENNIS,L.,DUNDAS,1,MO,US,,residence	
06546680,WILLIAM,H.,MYERS,2,MO,US,,residence	
06546680,WILLIAM,G.,KINSLOW,3,MO,US,,residence	
06548832,ERWIN,,RUTSCHMANN,1,,DE,GERMANY,residence	
06552574,EUGENE,,SANDERS,1,CA,US,,residence	
06567017,KANJI,,IINUMA,1,,JP,JAPAN,residence	
06567017,HIDEO,,NAKAMURA,2,,JP,JAPAN,residence	
06567017,TAKASHI,,ATOBE,3,,JP,JAPAN,residence	
06571320,JAMES,R.,LEHR,2,AL,US,,residence	
06571320,SHUANG-SHII,,HSIEH,1,AL,US,,residence	
06573742,PHILIPPE,L.,DURETTE,1,NJ,US,,residence	
06573745,KIYOSHI,,HORI,1,,JP,JAPAN,residence	
06574578,RALPH,S.,MOORE,1,CA,US,,residence	
06577201,HANS,G.,RAUCH,1,FL,US,,residence	
06578074,HANS,P.,SCHORR,2,NY,US,,residence	
06578074,STEPHEN,J.,MARKBREITER,1,NJ,US,,residence	
06579191,REGIS,,DELAHOUSSE,1,,FR,FRANCE,residence	
06579191,PHILIPPE,,DELAHOUSSE,2,,FR,FRANCE,residence	
06580287,JOSEPH,,DIAZ,1,,FR,FRANCE,residence	
06580287,PAUL-HENRY,,SCHMELCK,4,,FR,FRANCE,residence	
06580287,ROMEO,,RONCUCCI,3,,FR,FRANCE,residence	
06580287,HENRI,,DEMARNE,2,,FR,FRANCE,residence	
06585163,HAJIME,,TSUKAI,1,,JP,JAPAN,residence	
06587459,WALTER,K.,KULICK,1,FL,US,,residence	
06589865,FRANCIS,J.,FIGIEL,1,NJ,US,,residence	
06589865,HARRY,F.,OSTERMAN,2,NJ,US,,residence	
06596074,THOMAS,J.,SCHAMPER,1,NJ,US,,residence	
06596074,MARTIN,M.,PERL,2,NY,US,,residence	
06596074,JAMES,D.,WARREN,3,NY,US,,residence	
06601648,LEE,S.,WEINERMAN,1,OH,US,,residence	
06601648,MICHAEL,J.,RACHOCKI,3,OH,US,,residence	
06601648,JOHN,E.,GIARRIZZO,2,OH,US,,residence	
06604604,GINO,,VILLATA,1,,IT,ITALY,residence	
06614172,RICHARD,V.,VESCE,1,CT,US,,residence	
06614172,JOHN,R.,TORRES,2,CT,US,,residence	
06619958,KARL,,EICKMANN,1,,JP,JAPAN,residence	
06634982,TAKASHI,,KOIKE,1,,JP,JAPAN,residence	
06641214,EDWARD,S.,BLAIN,1,IL,US,,residence	
06657119,JUDITH,L.,KOOB,3,MA,US,,residence	
06657119,LAWENCE,J.,GUILBAULT,1,MA,US,,residence	
06657119,THOMAS,C.,MC ENTEE,2,MA,US,,residence	
06659220,THOMAS,L.,SEIDL,2,NE,US,,residence	
06659220,JOSEPH,G.,HUFFMAN,1,NE,US,,residence	
06662042,SHUTARO,,NAMBU,4,,JP,JAPAN,residence	
06662042,KAZUHIDE,,GOHDA,3,,JP,JAPAN,residence	
06662042,SHINICHI,,KATSU,2,,JP,JAPAN,residence	
06662042,HIROSHI,,TSUKADA,5,,JP,JAPAN,residence	
06662042,MASAHIRO,,HAGIO,1,,JP,JAPAN,residence	
06662328,FRANK,,JANSEN,2,NY,US,,residence	
06662328,KOJI,,OKUMURA,3,NY,US,,residence	
06662328,STEVEN,J.,GRAMMATICA,4,NY,US,,residence	
06662328,MICHAEL,A.,MORGAN,5,NY,US,,residence	
06662328,JOSEPH,,MORT,1,NY,US,,residence	
06663553,HENRY,L.,EINHORN,1,CA,US,,residence	
06665999,HELEN,,CASTIGLIA,2,NY,US,,residence	
06665999,ROBERT,,CASTIGLIA,1,NY,US,,residence	
06666801,MASAO,,TSUJI,1,CT,US,,residence	
06671060,HANSULRICH,,HORLER,2,,CH,SWITZERLAND,residence	
06671060,HANSRUEDI,,AMMANN,1,,CH,SWITZERLAND,residence	
06674804,RONALD,J.,MC KEON,2,NY,US,,residence	
06674804,FARROKH,,YAGHMAIE,1,NY,US,,residence	
06679699,CHARLES,H.,SHURDEN,1,MS,US,,residence	
06680120,NICHOLAS,J.,SHEETZ,1,PA,US,,residence	
06682000,RICHARD,,FRIEDL,1,,DE,GERMANY,residence	
06682233,YASUO,,OGINO,1,,JP,JAPAN,residence	
06690236,DONALD,M.,LEE,1,WV,US,,residence	
06693148,HARRY,A.,LODER,1,MN,US,,residence	
06693794,KEIJI,,OGI,2,,JP,JAPAN,residence	
06693794,ATUSHI,,KAMITAKAHARA,1,,JP,JAPAN,residence	
06694374,HAROLD,K.,LORENZ,1,MA,US,,residence	
06696682,WALTER,L.,SCHUTRUM,1,OH,US,,residence	
06697485,NATHAN,,LERNER,1,IL,US,,residence	
06703625,GREGORY,J.,THOMPSON,2,IL,US,,residence	
06703625,RAYMOND,W.,MOTT,4,IL,US,,residence	
06703625,ANTHONY,G.,VICKERS,3,IL,US,,residence	
06703625,ROBERT,A.,LENGEMANN,1,IL,US,,residence	
06704562,JEAN-JACQUES,,DURAND,1,,FR,FRANCE,residence	
06709749,ROBERT,J.,FREDERICK,2,IL,US,,residence	
06709749,LOUIS,L.,HALLOCK,3,IL,US,,residence	
06709749,ROBERT,E.,KASS,1,IL,US,,residence	
06710272,MASAHIKO,,AIBA,1,,JP,JAPAN,residence	
06710272,KOICHI,,FURUKAWA,2,,JP,JAPAN,residence	
06716446,ATSUSHI,,YUSA,1,,JP,JAPAN,residence	
06718351,JOSEPH,J.,PRISCHAK,1,PA,US,,residence	
06718351,WILLIAM,J.,VITRON,2,PA,US,,residence	
06718351,CARL,E.,SEABERG,3,PA,US,,residence	
06719183,JOSEPH,L.,GARNER,1,MI,US,,residence	
06721132,KAZUO,,KONDO,2,,JP,JAPAN,residence	
06721132,AKIRA,,SHIBATA,1,,JP,JAPAN,residence	
06721132,HIROSE,,KOICHI,3,,JP,JAPAN,residence	
06732379,RODNEY,T.,HEATH,1,NM,US,,residence	
06733541,KAZUO,,TSUJI,1,,JP,JAPAN,residence	
06733557,JAMES,T.,VOORHEIS,1,NJ,US,,residence	
06734207,PIERRE,M.,DAMIRON,1,,FR,FRANCE,residence	
06734207,JEAN-LUC,,LEGOUPIL,2,,FR,FRANCE,residence	
06734207,JACQUES,,BROSSON,3,,FR,FRANCE,residence	
06735396,DAVID,G.,MC CARTHY,1,CT,US,,residence	
06735396,RONALD,R.,EICHORN,2,CT,US,,residence	
06736411,JON,E.,KINZENBAW,1,IA,US,,residence	
06739073,LEO,L.,DAILEY,1,PA,US,,residence	
06739073,DANIEL,J.,SOLTZ,2,PA,US,,residence	
06739586,TAICHIRO,,ISE,1,,JP,JAPAN,residence	
06739586,HIROYO,,OGAWA,3,,JP,JAPAN,residence	
06739586,KAZUYUKI,,YAMAMOTO,2,,JP,JAPAN,residence	
06741344,CESAR,M.,PINTO,1,,GT,GUATEMALA,residence	
06743414,JOHAN,G.,HEDBERG,1,DE,US,,residence	
06743414,LAWRENCE,C.,MUSCHIATTI,2,DE,US,,residence	
06746268,EUGENE,F.,ROCK,2,WI,US,,residence	
06746268,DAVID,E.,BRANDT,3,WI,US,,residence	
06746268,RONALD,L.,YOUNG,1,MI,US,,residence	
06751725,YOSHIO,,KAZUMOTO,2,,JP,JAPAN,residence	
06751725,MICHIO,,FUJIWARA,1,,JP,JAPAN,residence	
06751725,TAMOTSU,,NOMAGUCHI,3,,JP,JAPAN,residence	
06751725,KAZUO,,KASHIWAMURA,4,,JP,JAPAN,residence	
06758179,JOSEPH,C.,GILARDONE,1,PA,US,,residence	
06768480,SHOJI,,FURUHASHI,2,,JP,JAPAN,residence	
06768480,SEIICHI,,OTANI,3,,JP,JAPAN,residence	
06768480,NAOKI,,TOMISAWA,1,,JP,JAPAN,residence	
06771200,GARY,W.,LANTZ,1,CA,US,,residence	
06772754,SVEN,,OSTROM,1,,SE,SWEDEN,residence	
06777211,FRANCOIS,R.,BONHOMME,1,,FR,FRANCE,residence	
06780633,DUANE,T.,TEGG,1,MN,US,,residence	
06784334,GLENN,C.,WAEHNER,1,CT,US,,residence	
06785650,XAVIER,F.,PUISAIS,1,,FR,FRANCE,residence	
